commonid,BlockStartingHour,BankerGroup,state
1000342,11,Refinance,AL
1000342,11,Refinance,DE
1000342,11,Refinance,GA
1000342,11,Refinance,IN
1000342,11,Refinance,KS
1000342,11,Refinance,KY
1000342,11,Refinance,ME
1000342,11,Refinance,MA
1000342,11,Refinance,MI
1000342,11,Refinance,NC
1000342,11,Refinance,OH
1000342,11,Refinance,OK
1000342,11,Refinance,PA
1000342,11,Refinance,RI
1000342,11,Refinance,TN
1000342,11,Refinance,TX
1000342,11,Refinance,VA
1000342,11,Refinance,WI
1000962,11,Refinance,AZ
1000962,11,Refinance,AR
1000962,11,Refinance,CA
1000962,11,Refinance,CO
1000962,11,Refinance,CT
1000962,11,Refinance,DC
1000962,11,Refinance,GA
1000962,11,Refinance,ID
1000962,11,Refinance,IN
1000962,11,Refinance,IA
1000962,11,Refinance,KY
1000962,11,Refinance,LA
1000962,11,Refinance,ME
1000962,11,Refinance,MA
1000962,11,Refinance,MI
1000962,11,Refinance,MT
1000962,11,Refinance,NV
1000962,11,Refinance,NH
1000962,11,Refinance,NY
1000962,11,Refinance,NC
1000962,11,Refinance,ND
1000962,11,Refinance,OH
1000962,11,Refinance,OR
1000962,11,Refinance,PA
1000962,11,Refinance,RI
1000962,11,Refinance,TN
1000962,11,Refinance,TX
1000962,11,Refinance,UT
1000962,11,Refinance,VA
1000962,11,Refinance,WV
1000962,11,Refinance,WI
1002072,11,Refinance,AK
1002072,11,Refinance,AZ
1002072,11,Refinance,CA
1002072,11,Refinance,CT
1002072,11,Refinance,DE
1002072,11,Refinance,DC
1002072,11,Refinance,FL
1002072,11,Refinance,GA
1002072,11,Refinance,ID
1002072,11,Refinance,IL
1002072,11,Refinance,IN
1002072,11,Refinance,IA
1002072,11,Refinance,KY
1002072,11,Refinance,ME
1002072,11,Refinance,MD
1002072,11,Refinance,MA
1002072,11,Refinance,MI
1002072,11,Refinance,MS
1002072,11,Refinance,MT
1002072,11,Refinance,NV
1002072,11,Refinance,NY
1002072,11,Refinance,NC
1002072,11,Refinance,ND
1002072,11,Refinance,PA
1002072,11,Refinance,RI
1002072,11,Refinance,SC
1002072,11,Refinance,TN
1002072,11,Refinance,TX
1002072,11,Refinance,VA
1002072,11,Refinance,WA
1002072,11,Refinance,WI
1002198,11,Refinance,AK
1002198,11,Refinance,AZ
1002198,11,Refinance,AR
1002198,11,Refinance,CA
1002198,11,Refinance,CO
1002198,11,Refinance,CT
1002198,11,Refinance,DE
1002198,11,Refinance,DC
1002198,11,Refinance,FL
1002198,11,Refinance,GA
1002198,11,Refinance,ID
1002198,11,Refinance,IL
1002198,11,Refinance,IN
1002198,11,Refinance,IA
1002198,11,Refinance,KS
1002198,11,Refinance,KY
1002198,11,Refinance,ME
1002198,11,Refinance,MD
1002198,11,Refinance,MA
1002198,11,Refinance,MI
1002198,11,Refinance,MS
1002198,11,Refinance,MT
1002198,11,Refinance,NV
1002198,11,Refinance,NH
1002198,11,Refinance,NJ
1002198,11,Refinance,NY
1002198,11,Refinance,NC
1002198,11,Refinance,ND
1002198,11,Refinance,OR
1002198,11,Refinance,PA
1002198,11,Refinance,RI
1002198,11,Refinance,SC
1002198,11,Refinance,SD
1002198,11,Refinance,TN
1002198,11,Refinance,TX
1002198,11,Refinance,VT
1002198,11,Refinance,VA
1002198,11,Refinance,WA
1002198,11,Refinance,WV
1002198,11,Refinance,WI
1002209,11,Refinance,AL
1002209,11,Refinance,AZ
1002209,11,Refinance,AR
1002209,11,Refinance,CA
1002209,11,Refinance,CO
1002209,11,Refinance,DC
1002209,11,Refinance,FL
1002209,11,Refinance,IL
1002209,11,Refinance,LA
1002209,11,Refinance,MI
1002209,11,Refinance,MO
1002209,11,Refinance,NE
1002209,11,Refinance,NV
1002209,11,Refinance,NM
1002209,11,Refinance,OK
1002209,11,Refinance,OR
1002209,11,Refinance,PA
1002209,11,Refinance,RI
1002209,11,Refinance,WI
1002658,11,Refinance,AZ
1002658,11,Refinance,CA
1002658,11,Refinance,CO
1002658,11,Refinance,CT
1002658,11,Refinance,DC
1002658,11,Refinance,FL
1002658,11,Refinance,GA
1002658,11,Refinance,IL
1002658,11,Refinance,IN
1002658,11,Refinance,LA
1002658,11,Refinance,MD
1002658,11,Refinance,MA
1002658,11,Refinance,MI
1002658,11,Refinance,MS
